artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
A.C. Reed,Soul blues,1926,2004,78,1926-05-09,1926-05-09,1926-05-09,2004-02-24,2004-02-24,2004-02-24
A. M. Rajah,Kollywood,1929,1989,60,1929-07-01,1929-07-01,1,1989-04-07,7,1989-04-08
A. P. Carter,Country music,1891,1960,69,1891-12-15,1891-12-15,1891,1960-11-07,1960,1960-11-07
Aaliyah,Soul music,1979,2001,22,1979-01-16,1979-01-16,1979-01-16,2001-08-25,2001-08-25,2001-08-25
Abbey Lincoln,Jazz,1930,2010,80,1930-08-06,1930-08-06,1930,2010-08-14,2010,2010-08-14
Abdul Karim Khan,Indian classical music,1872,1937,65,1872-11-11,1872-11-11,1872-11-11,1937-10-27,1937-10-27,1937-10-27
Abdullahi Qarshe,Music of Somalia,1924,1994,70,,1924,1924,,1994,
Abe Aaron,Jazz,1910,1970,60,1910-01-27,1910-01-27,1910-01-27,1970-01-31,1970-01-31,1970-01-31
Abolhasan Saba,Persian music,1902,1957,55,1902-04-15,1902-04-15,1902-04-15,1957-12-19,1957-12-19,1957-12-19
Abraham Afewerki,Tigrigna,1966,2006,40,,1966,1966,,2006,2006
Abraham Goldfaden,Yiddish theatre,1840,1908,68,1840-07-24,,1840-07-24,1908-01-09,1908-01-09,
Ada Jones,Vocal music,1873,1922,49,1873-06-01,1873-06-01,1873-06-01,1922-05-02,1922-05-02,1922-05-02
Adam Yauch,Alternative hip hop,1964,2012,48,1964-08-05,1964-08-05,1964-08-05,2012-05-04,2012-05-04,2012-05-04
Adelaide Hall,Jazz,1901,1993,92,1901-10-20,1901-10-20,20,1993-11-07,7,1993-11-07
Adelina Patti,Opera,1843,1919,76,1843-02-10,19,1843-02-10,,1919-09-27,
Adi Lukovac,Ambient music,1970,2006,36,,1970,1970,2006-06-18,2006-06-18,Bosnia_and_Herzegovina
Adrian Borland,Post-Punk,1957,1999,42,1957-12-06,1957-12-06,6,1999-04-26,26,1999-04-26
Adriano Correia de Oliveira,Fado,1942,1982,40,1942-04-09,1942-04-09,1942-04-09,1982-10-16,1982-10-16,1982-10-16
Adrien-François Servais,Classical music,1807,1866,59,1807-06-06,1807-06-06,1807-06-06,1866-11-26,1866-11-26,1866-11-26
Adrienne Cooper,Klezmer,1946,2011,65,1946-09-01,1946-09-01,1946-09-01,2011-12-25,2011,2011-12-25
Afroman,West Coast hip hop,1974,2008,34,1974-07-28,1974-07-28,1974,,2008,
Agostinho dos Santos,Bossa Nova,1932,1973,41,1932-04-25,1932-04-25,1932,1973-07-11,1973,1973-07-11
Agustín Lara,Ballad,1897,1970,73,1897-10-30,1897-10-30,1897-10-30,1970-11-06,1970,1970-11-06
Ahmad Zahir,Rock music,1946,1979,33,1946-06-14,1946-06-14,1946-06-14,1979-06-14,1979-06-14,1979-06-14
Ahmed Abdul-Malik,Jazz,1927,1993,66,1927-01-30,1927-01-30,1927-01-30,1993-10-02,1993-10-02,1993-10-02
Ahmed Jan Thirakwa,Hindustani classical music,1892,1976,84,,1892,1892,,1976,
Ahmed Rushdi,Ghazal,1934,1983,49,1934-04-24,1934-04-24,1934,1983-04-11,1983,1983-04-11
Ahmet Ertegun,Blues music,1923,2006,83,1923-07-31,1923-07-31,31,2006-12-14,14,2006-12-14
Ahmet Kaya,Turkish folk music,1957,2000,43,1957-10-28,28,28,2000-11-16,16,2000-11-16
Akiko Futaba,Ryūkōka,1915,2011,96,1915-02-02,,1915,2011-08-16,2011,Japan
Alam Lohar,Punjabi folk,1928,1979,51,,1928,1928,1979-07-03,1979-07-03,1979-07-03
Alan Dale (singer),Traditional pop music,1925,2002,77,1925-07-09,1925-07-09,1925-07-09,2002-04-20,2002-04-20,2002-04-20
Alan Hull,Folk rock,1945,1995,50,1945-02-20,1945-02-20,1945-02-20,1995-11-17,1995-11-17,1995-11-17
Alan Jay Lerner,Musical theatre,1918,1986,68,1918-08-31,1918-08-31,31,1986-06-14,14,1986-06-14
Alan Murphy,Fusion (music),1953,1989,36,1953-11-28,,28,1989-10-19,19,1989-10-19
Alan Spenner,Folk rock,1948,1991,43,1948-05-07,1948-05-07,7,1991-08-11,11,
Alan Wilson (musician),Blues rock,1943,1970,27,1943-07-04,1943-07-04,1943-07-04,1970-09-03,1970-09-03,1970-09-03
Al Arsenault,Blues music,1938,2007,69,1938-04-06,1938-04-06,1938-04-06,2007-05-15,2007-05-15,2007-05-15
Al Bernard,Pop music,1888,1949,61,1888-11-23,1888-11-23,1888-11-23,1949-03-06,1949-03-06,1949-03-06
Alberta Hunter,Blues,1895,1984,89,1895-04-01,1895-04-01,1895-04-01,1984-10-17,1984-10-17,1984-10-17
Albert Ammons,Jazz,1907,1949,42,1907-09-23,1907-09-23,1907-09-23,1949-12-02,1949-12-02,1949-12-02
Albert Arlen,Musical theatre,1905,1993,88,1905-01-10,1905-01-10,1905-01-10,1993-03-24,24,1993-03-24
Albert Ayler,Free jazz,1936,1970,34,1936-07-13,1936-07-13,1936-07-13,1970-11-25,1970-11-25,1970-11-25
Albert Chevalier,Music hall,1861,1923,62,1861-03-21,21,1861-03-21,1923-07-10,1923-07-10,
Albert Collins,Blues-rock,1932,1993,61,1932-10-01,1932-10-01,1932-10-01,1993-11-24,1993-11-24,1993-11-24
Albert Dupuis,Classical music,1877,1967,90,1877-03-01,1877-03-01,1,1967-09-19,1967-09-19,1967-09-19
Albert E. Brumley,Christian music,1905,1977,72,1905-10-29,1905-10-29,1905-10-29,1977-11-15,1977-11-15,1977-11-15
Albertina Walker,Gospel music,1929,2010,81,1929-08-29,,,2010-10-08,,2010-10-08
Albert King,Blues,1923,1992,69,1923-04-25,1923-04-25,1923-04-25,1992-12-21,1992-12-21,"Memphis, Tennessee, United States"
Albert Mangelsdorff,Jazz,1928,2005,77,1928-09-05,1928-09-05,1928-09-05,2005-07-25,2005-07-25,2005-07-25
Alcide Nunez,Jazz,1884,1934,50,1884-03-17,1884-03-17,1884-03-17,1934-09-02,1934-09-02,1934-09-02
Al Cohn,Big band,1925,1988,63,1925-11-24,1925-11-24,1925,1988-02-15,1988,1988-02-15
Al De Lory,Country music,1930,2012,82,1930-01-31,1930-01-31,31,2012-02-05,5,2012-02-05
Aldemaro Romero,Music of Venezuela,1928,2007,79,1928-03-12,1928-03-12,1928-03-12,2007-09-15,2007-09-15,2007-09-15
Alec Seward,Piedmont blues,1902,1972,70,1902-03-16,1902-03-16,1902-03-16,1972-05-11,1972-05-11,1972-05-11
Alec Wilder,Popular music,1907,1980,73,1907-02-16,1907-02-16,1907-02-16,1980-12-24,1980-12-24,1980-12-24
Aleksandar Sarievski,Narodna muzika,1922,2002,80,1922-06-20,1922-06-20,1922-06-20,2002-12-19,2002-12-19,2002-12-19
Aleksandr Nepomniachtchi,Rock music,1968,2007,39,1968-02-16,1968-02-16,1968-02-16,2007-04-20,2007-04-20,2007-02-16
Alexander Courage,Soundtrack,1919,2008,89,1919-12-10,1919-12-10,,2008-05-15,,2008-05-15
Alexandre Barjansky,Classical music,1885,1946,61,,,1885,,1946,
Alexandre Goria,Classical music,1823,1860,37,1823-01-21,,21,1860-07-06,6,
Alex Baroni,Ballata,1966,2002,36,1966-12-22,1966-12-22,1966-12-22,2002-04-13,2002-04-13,2002-04-13
Alex Chilton,Blue-eyed soul,1950,2010,60,1950-12-28,1950-12-28,1950-12-28,2010-03-17,2010-03-17,2010-03-17
Alexei Khvostenko,Bard (Soviet Union),1940,2004,64,1940-11-14,1940-11-14,1940-11-14,2004-11-30,2004-11-30,2004-11-30
Alexey Ekimyan,Pop music,1927,1982,55,1927-04-10,1927-04-10,1927-04-10,1982-04-24,1982-04-24,1982-04-24
Alex Harvey (musician),Rock and roll,1935,1982,47,1935-02-05,1935-02-05,5,1982-02-04,4,1982-02-04
Alexis Korner,Blues,1928,1984,56,1928-04-19,1928-04-19,19,1984-01-01,1,1984-01-01
Alex Konadu,Highlife,1950,2011,61,,,1950,2011-01-18,2011-01-18,
Alex St. Clair,Rock music,1941,2006,65,1941-09-14,1941-09-14,1941-09-14,2006-01-05,2006-01-05,2006-01-05
Alf Bigden,Big band,1932,2007,75,1932-03-01,1932-03-01,1,2007-10-12,12,2007-10-12
Alfred Apaka,Standard (music),1919,1960,41,1919-03-19,1919-03-19,1919,1960-01-30,1960,1960-01-30
Alfred Cortot,Classical music,1877,1962,85,1877-09-26,1877-09-26,1877,1962-06-15,1962,1962-06-15
Al Gallodoro,Jazz,1913,2008,95,1913-06-20,1913-06-20,1913-06-20,2008-10-04,2008-10-04,2008-10-04
Alger Texas Alexander,Texas blues,1900,1954,54,1900-09-12,"Jewett, Texas, United States",1900-09-12,1954-04-18,1954-04-18,1954-04-18
Al Hibbler,Jazz,1915,2001,86,1915-08-16,1915-08-16,1915-08-16,2001-04-24,2001-04-24,2001-04-24
Ali Akbar Khan,Indian classical music,1922,2009,87,1922-04-14,1922-04-14,1922,2009-06-18,2009,2009-06-18
Alice Coltrane,Avant-garde jazz,1937,2007,70,1937-08-27,1937-08-27,1937-08-27,2007-01-12,2007-01-12,2007-01-12
Alice Martineau,Pop music,1972,2003,31,1972-06-08,1972-06-08,8,2003-03-06,6,2003-03-06
Alicia Delgado,Traditional music,1959,2009,50,1959-05-06,1959-05-06,1959-05-06,2009-07-23,2009-06-23,2009-07-23
Ali Farka Touré,Blues,1939,2006,67,1939-10-31,1939-10-31,1939-10-31,2006-03-07,2006-03-06,2006-03-07
Ali Feiruz,Music of Somalia,1931,1994,63,,1931,1931,,1994,1994
Ali Merdan,Kurdish music,1904,1981,77,,1904,1904,1981-07-24,1981,1981-07-24
Ali-Naqi Vaziri,Classical music,1887,1979,92,,,1887,1979-09-09,1979-09-09,1979-09-09
Ali Tajvidi,Folk music,1919,2006,87,1919-11-07,1919-11-07,1919-11-07,2006-03-15,2006-03-15,2006-03-15
"Al Jackson, Jr.",Funk,1934,1975,41,1934-11-27,1935-11-27,1934-11-27,1975-10-01,1975-10-01,
Al Jolson,Jazz,1886,1950,64,1886-05-26,1886-05-26,1886-05-26,1950-10-23,1950-10-23,1950-10-23
Al Jones,Folk rock,1945,2008,63,1945-10-31,1945-10-31,1945,2008-06-01,2008,2008-06-01
Alladiya Khan,Khayal,1855,1946,91,1855-08-10,,1855-08-10,,1946,
Allah Rakha (sarangi),Hindustani classical music,1919,2000,81,,1919,1919,,2000,2000
Allan Smethurst,Folk music,1927,2000,73,1927-11-19,1927-11-19,19,2000-12-24,2000,2000-12-24
Allen Collins,Southern rock,1952,1990,38,1952-07-19,1992-07-19,1952-07-19,1990-01-23,1990-01-23,1990-01-23
Allen Klein,Rock music,1931,2009,78,1931-12-18,1931-12-18,1931-12-18,2009-07-04,2009-07-04,2009-07-04
Allen Shellenberger,Progressive metal,1969,2009,40,1969-09-15,1969-09-15,1969-09-15,2009-08-13,2009-08-13,2009-08-13
Allen Woody,Hard Rock,1955,2000,45,1955-10-03,1955-10-03,1955-10-03,2000-08-26,2000-08-26,2000-08-25
Alma Cogan,Traditional pop music,1932,1966,34,1932-05-19,1932-05-19,19,1966-10-26,26,1966-10-26
Al Martino,Swing (genre),1927,2009,82,1927-10-07,1927-10-07,1927,2009-10-13,2009,2009-10-13
Al McKibbon,Jazz,1919,2005,86,1919-01-01,,1919-01-01,2005-07-29,2005-07-29,
Alphonse Bois Sec Ardoin,Cajun music,1915,2007,92,1915-11-16,,1915-11-16,2007-05-16,2007-05-16,
Al Rinker,Jazz,1907,1982,75,1907-12-20,,20,1982-06-11,11,
Al Timothy,Rhythm and blues,1915,2000,85,1915-07-05,1915-07-05,5,2000-12-08,8,2000-12-08
Alton Ellis,R&B,1938,2008,70,1938-09-01,1938-09-01,1938,2008-10-10,2008,2008-10-10
Al Trace,Big band,1900,1993,93,1900-12-25,1900-12-25,1900-12-25,1993-08-31,1993-08-31,1993-08-31
Álvaro Carrillo,Bolero,1921,1969,48,1921-12-02,1921-12-02,1921,1969-04-03,1969,1969-04-03
Alvino Rey,Jazz music,1908,2004,96,1908-07-01,1908-07-01,1908-07-01,2004-02-02,2004-02-02,2004-02-02
Al Wilson (singer),Soul music,1939,2008,69,1939-06-19,1939-06-19,1939-06-19,2008-04-21,2008-04-21,2008-04-21
Alys Robi,Latin American music,1923,2011,88,1923-02-03,1923-02-03,1923-02-03,2011-05-28,2011-05-28,2011-05-28
Amalia Bakas,Turkish Music,1897,1979,82,,1897,1897,,1979,
Amalia Mendoza,Ranchera,1923,2001,78,1923-07-23,1923-07-23,1923,2001-06-11,2001,2001-06-11
Amália Rodrigues,Fado,1920,1999,79,1920-07-01,1920-07-23,1920-07-01,1999-10-06,1999-10-06,1999-10-06
Amanat Ali Khan,Ghazal,1932,1974,42,,1932,1932,,1974,
Amar Singh Chamkila,Music of Punjab,1960,1988,28,1960-07-21,1960-07-21,1960-07-21,1988-03-08,1988-03-08,1988-03-08
Amar Singh Shaunki,Music of Punjab,1916,1981,65,1916-08-15,1916-08-15,,1981-08-14,,1981-08-14
Ambrose (bandleader),Big band,1896,1971,75,1896-09-15,1896-09-15,1896-09-15,1971-06-11,11,1971-06-11
Amir Khan (singer),Tarana,1912,1974,62,1912-08-15,1912-08-15,1912-08-15,1974-02-13,1974-02-13,1974-02-13
Amir Khusrow,Tarana,1252,1324,72,,1253,1253,,1325,1325
Amos Milburn,Jump blues,1927,1980,53,1927-04-01,1927-04-01,1927-04-01,1980-01-03,1980-01-03,1980-01-03
Amy Winehouse,Jazz,1983,2011,28,1983-09-14,1983-09-14,1983-09-14,2011-07-23,23,2011-07-23
Ananda Samarakoon,Sri Lankan music,1911,1962,51,1911-01-13,1911-01-13,1911-01-13,1962-04-05,1962-04-05,1962-04-05
Anca Parghel,Jazz,1957,2008,51,1957-09-16,,1957-09-16,2008-12-05,2008-12-05,2008-12-05
Anders Ljungqvist,Traditional Nordic dance music,1815,1896,81,1815-05-10,1815-05-10,1815-05-10,1896-12-24,1896-12-24,1896-12-24
Andrea True,Pop music,1943,2011,68,1943-07-26,1943-07-26,1943-07-26,2011-11-07,2011-11-07,2011-11-07
André Filho,Samba,1906,1974,68,1906-03-21,1906-03-21,1906-03-21,1974-07-02,1974-07-02,1974-07-02
André Fleury (organist),Classical music,1903,1995,92,1903-07-25,1903-07-25,25,1995-08-06,1995-08-06,1995-08-06
André Hazes,Levenslied,1951,2004,53,1951-06-30,1951-06-30,1951-06-30,2004-09-23,2004-09-23,2004-09-23
André Pretorius (musician),Punk rock,1961,1988,27,1961-08-02,1961-08-02,1961-08-02,1988-10-13,1987-10-13,1988-10-13
Andrew Gold,Pop music,1951,2011,60,1951-08-02,1951-08-02,1951-08-02,2011-06-03,2011-06-03,2011-06-03
Andrew Hill,Hard Bop,1931,2007,76,1931-06-30,1931-06-30,1931-06-30,2007-04-20,2007-04-20,2007-04-20
Andrew Jenkins,Gospel music,1895,1957,62,1895-11-26,1895-11-26,1895-11-26,1957-04-25,1957-04-25,1957-04-25
Andrew Tibbs,Electric blues,1929,1991,62,1929-02-02,1929-02-02,1929-02-02,1991-05-05,1991-05-05,"Chicago, Illinois, United States"
Andrew Wood (singer),Grunge,1966,1990,24,1966-01-08,1966-01-08,1966,1990-03-19,1990,1990-03-19
Andrzej Przybielski,Jazz,1944,2011,67,1944-08-09,,1944-08-09,2011-02-09,2011-02-09,
Andy Gibb,Pop music,1958,1988,30,1958-03-05,1958-03-05,1958,1988-03-10,1988,1988-03-10
Andy Kirk,Jazz,1898,1992,94,1898-05-28,1898-05-28,1898-05-28,1992-12-11,1992-12-11,1992-12-11
Andy Lewis (bassist),Rock music,1966,2000,34,,1966,1967,2000-02-12,12,2000-02-12
Andy Stewart (musician),Folk music,1933,1993,60,1933-12-30,1933-12-30,30,1993-10-11,1993-10-11,1993-10-11
Andy Williams,Pop music,1927,2012,85,1927-12-03,1927-12-03,1927,2012-09-25,2012,2012-09-25
Ángel Custodio Loyola,Joropo,1926,1985,59,1926-09-04,1926-09-04,1926-09-04,1985-09-24,1985-09-24,1985-09-24
Ángel Sauce,Classical music,1911,1995,84,1911-08-02,,,1995-12-26,,
Anita Carter,Folk music,1933,1999,66,1933-03-31,1933-03-31,1933-03-31,1999-07-29,1999-07-29,1999-07-29
Anita O'Day,Improv Jazz,1919,2006,87,1919-10-18,1919-10-18,1919-10-18,2006-11-23,2006-11-23,2006-11-23
Anita Traversi,Pop music,1937,1991,54,1937-07-25,,1937-07-25,1991-09-25,1991-09-25,
Anna German,Torch song,1936,1982,46,1936-02-14,1936-02-14,1936-02-14,1982-08-26,1982-08-26,1982-08-26
Anna-Kajsa Norman,Swedish folk music,1820,1903,83,,1820,1820,,1903,1903
Annamacharya,Carnatic music,1408,1503,95,1408-05-09,1408-05-09,1408-05-09,1503-02-23,1503-02-23,1503-02-23
Anna Mae Winburn,Big band,1913,1999,86,1913-08-13,1913-08-13,1913-08-13,1999-09-30,1999-09-30,1999-09-30
Anna Turner (producer),Space music,1944,1996,52,,,1944,1996-08-27,1996-08-27,
Anne Lenner,Traditional pop music,1912,1997,85,1912-12-24,1912-12-24,1912-12-24,1997-06-04,4,1997-06-04
Annette Hanshaw,Jazz,1901,1985,84,1901-10-18,1901-10-18,1901-10-18,1985-03-13,1985-03-13,1985-03-13
Annisteen Allen,Blues,1920,1992,72,1920-11-11,1920-11-11,1920-11-11,1992-08-10,1992-08-10,1992-08-10
Anthony Armstrong Jones,Country music,1949,1996,47,1949-06-02,1949-06-02,1949-06-02,1996-06-16,1996-06-16,1996-06-16
Anthony Burger,Southern Gospel,1961,2006,45,1961-06-05,1961-06-05,1961-06-05,2006-02-22,2006-02-22,2006-02-22
Anthony Ian Berkeley,Hip hop music,1964,2001,37,1964-11-15,1964-11-15,1964-11-15,2001-07-15,2001-07-15,2001-07-15
Anthony Sooty Jones,Blues-rock,1953,1999,46,1953-08-24,1953-08-24,1953,1999-09-21,1999,1999-09-21
Antoine T.C.D. Lundy,Quiet storm,1964,1998,34,1964-02-03,1964-02-03,1964-02-03,1998-01-21,1998-01-21,1998-01-21
Antonia García de Videgain,Singer,1850,1924,74,1850-04-08,1850-04-08,1850-04-08,1924-06-25,1924-06-25,1924-06-25
Antônio Carlos Jobim,Bossa Nova,1927,1994,67,1927-01-25,1927-01-25,1927-01-25,1994-12-08,1994-12-08,1994-12-08
Antonio Estévez,Classical music,1916,1988,72,1916-01-01,1916-01-01,,1988-11-26,,
Antonio Flores,Pop-rock,1961,1995,34,1961-11-14,1961-11-14,1961-11-14,1995-05-30,1995-05-30,1995-05-30
Antonio Lauro,Music of Venezuela,1917,1986,69,1917-08-03,1917-08-03,,1986-04-18,,1986-04-18
António Variações,Pop music,1944,1984,40,1944-12-03,1944-12-03,1944-12-03,1984-06-13,1984-06-13,1984-06-13
Apache (rapper),East Coast hip hop,1964,2010,46,1964-12-26,1964-12-26,1964-12-26,2010-01-22,2010-01-22,2010-01-22
Aram Asatryan,Folk music,1953,2006,53,1953-03-03,1953-03-03,1953-03-03,2006-11-07,2006-11-07,2006-11-07
Arcesia,Crooner,1917,1983,66,1917-02-11,1917-02-11,1917-02-11,1983-04-12,1983-04-12,1983-04-12
Archie Campbell,Country music,1914,1987,73,1914-11-07,1914-11-07,1914-11-07,1987-08-29,1987-08-29,1987-08-29
Archie Edwards,Piedmont blues,1918,1998,80,1918-09-04,1918-09-04,1918-09-04,1998-06-18,1998-06-18,1998-06-18
Ari Up,Reggae,1962,2010,48,1962-01-17,1962-01-17,17,2010-10-20,2010-10-20,2010-10-20
Arkie Shibley,Western swing,1914,1975,61,1914-09-21,1914-09-21,21,,1975,"September, 1975"
Armand J. Piron,Jazz,1888,1943,55,1888-08-16,,1888-08-16,1943-02-17,1943-02-17,
Armando Molero,Venezuelan bambuco,1900,1971,71,1900-11-22,1899-01-20,1899-01-20,1971-02-05,1971-02-05,1971-02-05
Armin Jordan,Classical music,1932,2006,74,1932-04-09,1932-04-09,,,,2006-09-20
Armin van Buuren,Neo-trance,1976,2090,114,1976-12-25,1976-12-25,23,,,2090
Arnett Cobb,Swing music,1918,1989,71,1918-08-10,1918-08-10,1918-08-10,1989-03-24,1989-03-24,1989-03-24
Arrow (musician),Soca music,1949,2010,61,1949-11-16,Caribbean,1949,2010-09-15,2010,"Montserrat, West Indies"
Arsenio Rodríguez,Son montuno,1911,1970,59,1911-08-31,1911-08-31,31,1970-12-31,31,1970-12-31
Art Blakey,Bebop,1919,1990,71,1919-10-11,1919-10-11,1919-10-11,1990-10-16,1990-10-16,1990-10-16
Art Davis,Jazz,1934,2007,73,1934-12-05,1934-12-05,1934-12-05,2007-07-29,2007-07-29,2007-07-29
Art Farmer,Jazz,1928,1999,71,1928-08-21,1928-08-21,1928-08-21,1999-10-04,1999-10-04,1999-10-04
Art Hodes,Jazz,1904,1993,89,1904-11-14,1904-11-14,1904-11-14,1993-03-04,1993-03-04,1993-03-04
Arthur Alexander,Soul music,1940,1993,53,1940-05-10,1940-05-10,1940-05-10,1993-06-09,1993-06-09,1993-06-09
Arthur Big Boy Spires,Blues,1912,1990,78,1912-02-25,1912-02-25,1912-02-25,1990-10-22,1990-10-22,1990-10-22
Arthur Crudup,Blues,1905,1974,69,1905-08-24,1905-08-24,1905-08-05,1974-03-28,1974-03-28,1974-03-28
Arthur Hartmann,Classical Music,1881,1956,75,1881-07-22,1881-07-22,1881-07-22,1956-03-30,1956-03-30,1956-03-30
Arthur J. Lamb,Oldtime,1870,1928,58,1870-08-12,1870-08-12,12,1928-08-10,1928-08-10,1928-08-10
Arthur Lee (musician),Folk rock,1945,2006,61,1945-03-07,1945-03-07,1945-03-07,2006-08-03,2006-08-03,2006-08-03
Arthur Lee Red Smiley,Bluegrass music,1925,1972,47,1925-05-17,1925-05-17,1925-05-17,1972-01-02,1972-01-02,1972-01-02
Arthur Lyman,Exotica,1932,2002,70,1932-02-02,1932-02-02,1932-02-02,2002-02-24,2002-02-24,2002-02-24
Arthur Russell (musician),Experimental music,1951,1992,41,1951-05-21,1951-05-21,1951,1992-04-04,1992,1992-04-04
Artie Shaw,Big band music,1910,2004,94,1910-05-23,1910-05-23,1910-05-23,2004-12-30,2004-12-30,2004-12-30
Art Pepper,Mainstream jazz,1925,1982,57,1925-09-01,1925-09-01,1925-09-01,1982-06-15,1982-06-15,1982-06-15
"Art Porter, Jr.",Smooth Jazz,1961,1996,35,1961-08-03,1961-08-03,1961-08-03,1996-11-23,1996-11-23,1996-11-23
Art Tatum,Jazz,1909,1956,47,1909-10-13,1908-10-13,1909-10-13,1956-11-05,1956-11-05,1956-11-05
Arturo Zambo Cavero,Música criolla,1940,2009,69,1940-11-29,,29,2009-10-09,2009,
Artur Rodziński,Classical music,1892,1958,66,1892-01-01,1892-01-01,,1958-11-27,,1958-11-27
Ary Barroso,Samba,1903,1964,61,1903-11-07,1903-11-07,1903-11-07,1964-02-09,1964-02-09,1964-02-09
Asad Ali Khan,Hindustani classical music,1937,2011,74,,1937,1937,2011-06-14,2011-06-14,14
Asad Amanat Ali Khan,Ghazal,1955,2007,52,1955-09-25,Pakistan,1955-09-25,2007-04-08,2007-04-08,2007-04-08
Asmahan,Arabic music,1912,1944,32,1912-11-25,1912-11-25,25,1944-07-14,14,1944-07-14
Ástor Piazzolla,Nuevo tango,1921,1992,71,1921-03-11,1921-03-11,1921-03-11,1992-07-04,1992-07-04,1992-07-04
Atahualpa Yupanqui,Folk music,1908,1992,84,1908-01-31,1908-01-31,31,1992-05-23,23,1992-05-23
Audie Pitre,Sludge metal,1970,1997,27,1970-10-05,1970-10-05,1970-10-05,1997-01-23,1997-01-23,1997-01-23
Auguste Franchomme,Classical music,1808,1884,76,1808-04-10,10,10,1884-01-21,1884-01-21,21
Augustus Pablo,Dub music,1953,1999,46,1953-06-21,1954-06-21,21,1999-05-18,1999-05-18,1999-05-18
Austin Pitre,Cajun music,1918,1981,63,1918-02-23,,1918-02-23,1981-04-08,1981-04-08,
Awilda Carbia,Comedy,1938,2009,71,1938-01-30,1938-01-30,1938-01-30,2009-03-23,2009-03-22,2009-03-23
Ayla Dikmen,Pop music,1944,1990,46,1944-03-25,1944-03-25,25,1990-08-20,20,1990-08-20
Azat Abbasov,Opera,1925,2006,81,1925-01-19,1925-01-19,19,2006-10-11,11,2006-10-11
Aziz Mian,Qawwali,1942,2000,58,1942-04-17,1942-04-17,1942-04-17,2000-12-06,2000-12-06,2000-12-06
B. F. Shelton,Folk music,1902,1963,61,1902-01-01,1902-01-01,1902-01-01,,1963,
B.J. Wilson,Rock music,1947,1990,43,1947-03-18,1947-03-18,18,1990-10-08,8,1990-10-08
Babatunde Olatunji,World music,1927,2003,76,1927-04-07,1927-04-07,1927-04-07,2003-04-06,2003-04-06,2003-04-06
Baburaj,Film score,1921,1978,57,1921-03-29,1921-03-29,29,1978-10-07,7,1978-10-07
Babu Rajab Ali,Kavishri,1894,1979,85,1894-08-10,1894-08-10,10,1979-05-06,6,1979-05-06
Baby Dodds,Dixieland,1898,1959,61,1898-12-24,1898-12-24,1898-12-24,1959-02-14,1959-02-14,1959-02-14
Baby Huey (singer),Funk,1944,1970,26,1944-08-17,,1944-01-01,1970-10-28,1970-10-28,
Baby Tate,Country blues,1916,1972,56,1916-01-28,1916-01-28,1916-01-28,1972-08-17,1972-08-17,1972-08-17
Back Alley John,Blues,1955,2006,51,1955-02-10,1955-02-10,1955,2006-06-22,2006,2006-06-22
Badar Ali Khan,Ghazal,1962,2007,45,1962-02-17,1962-02-17,1962-02-17,2007-03-02,2007-03-02,2007-03-02
Bade Ghulam Ali Khan,Hindustani classical music,1902,1968,66,,,1902-04-02,,1968-04-23,
Badeji Khan,Bhajans,1886,1947,61,,,1886,,1947,
Bad News Brown (musician),Harmonic,1977,2011,34,1977-05-08,1977-05-08,1977-05-08,2011-02-11,2011-02-12,2011-02-11
Bahram Mansurov,Mugham,1911,1985,74,1911-02-12,1911-02-12,1911-02-12,1985-05-14,1985-05-14,1985-05-14
Bai Konte,West African,1920,1983,63,,1920,1920,,1983,1983
Balasaraswati,Carnatic classical music,1918,1984,66,1918-05-13,13,13,1984-02-09,9,9
Bal Gandharva,Sangeet Natak,1888,1967,79,1888-06-26,1888-06-26,1888,1967-07-15,1967,1967-07-15
Bally Sagoo,Bhangra (music),1964,2011,47,1964-05-19,1964-05-19,1971-12-10,2011-06-14,,14
Barbara (singer),Chanson,1930,1997,67,1930-06-09,1930-06-09,1930-06-09,1997-11-24,1997-11-24,1997-11-24
Barbara Acklin,Rhythm and blues,1943,1998,55,1943-02-28,1943-02-28,1943-02-28,1998-11-27,1998-11-27,"Omaha,_Nebraska"
Barbara Ingram,Adult contemporary,1947,1994,47,1947-11-25,1947-11-25,1947,1994-10-20,1994-10-20,1994-10-20
Barbara Lea,Jazz,1929,2011,82,1929-04-10,1929-04-10,1929-04-10,2011-12-26,2011-12-28,2011-12-28
Barbara Lyon,Traditional pop music,1931,1995,64,,,1931-09-09,,1995-07-10,
Barbara McNair,Adult contemporary,1934,2007,73,1934-03-04,1934-03-04,1934,2007-02-04,2007,2007-02-04
Barbecue Bob,Piedmont blues,1902,1931,29,1902-09-11,1902-09-11,1902-09-11,1931-10-21,1931-10-21,1931-10-21
Bardu Ali,Jazz,1906,1981,75,1906-09-23,1906-09-23,1906-09-23,1981-10-29,1981-10-29,1981-10-29
Barkin' Bill Smith,Electric blues,1928,2000,72,1928-08-18,1928-08-18,1928-08-18,2000-04-24,2000-04-24,
Barney Bigard,Dixieland,1906,1980,74,1906-03-03,,1906-03-03,1980-06-27,1980-06-27,1980-06-27
Barney Kessel,Jazz,1923,2004,81,1923-10-17,1923-10-17,1923-10-17,2004-05-06,2004-05-06,2004-05-06
Barry Brown (singer),Reggae,1962,2004,42,,,1962,2004-05-29,29,
